time,value
1588276800.0,5.5
1588278600.0,4.6
1588280400.0,5.5
1588282200.0,3.4
1588284000.0,4.4
1588285800.0,3.2
1588287600.0,4.2
1588289400.0,3.9
1588291200.0,1.3
1588293000.0,2.4
1588294800.0,1.0
1588296600.0,2.8
1588298400.0,1.3
1588300200.0,5.4
1588302000.0,3.8
1588303800.0,3.8
1588305600.0,4.4
1588307400.0,4.5
1588309200.0,6.0
1588311000.0,7.6
1588312800.0,11.2
1588314600.0,11.6
1588316400.0,13.3
1588318200.0,14.8
1588320000.0,12.8
1588321800.0,13.8
1588323600.0,11.4
1588325400.0,10.2
1588327200.0,13.0
1588329000.0,11.8
1588330800.0,13.3
1588332600.0,10.7
1588334400.0,11.9
1588336200.0,7.7
1588338000.0,7.7
1588339800.0,6.5
1588341600.0,6.0
1588343400.0,7.8
1588345200.0,7.7
1588347000.0,7.3
1588348800.0,8.5
1588350600.0,7.0
1588352400.0,9.3
1588354200.0,7.7
1588356000.0,7.6
1588357800.0,8.0
1588359600.0,5.7
1588361400.0,6.1
1588363200.0,4.0
1588365000.0,5.4
1588366800.0,3.4
1588368600.0,4.0
1588370400.0,2.1
1588372200.0,3.6
1588374000.0,1.5
1588375800.0,2.8
1588377600.0,1.1
1588379400.0,2.7
1588381200.0,1.0
1588383000.0,0.9
1588384800.0,2.4
1588386600.0,3.0
1588388400.0,4.4
1588390200.0,3.5
1588392000.0,5.5
1588393800.0,5.5
1588395600.0,7.3
1588397400.0,10.0
1588399200.0,10.7
1588401000.0,12.5
1588402800.0,14.3
1588404600.0,13.4
1588406400.0,13.0
1588408200.0,15.0
1588410000.0,11.3
1588411800.0,12.2
1588413600.0,13.3
1588415400.0,12.0
1588417200.0,12.4
1588419000.0,12.2
1588420800.0,11.3
1588422600.0,8.1
1588424400.0,8.3
1588426200.0,6.5
1588428000.0,7.2
1588429800.0,8.1
1588431600.0,7.7
1588433400.0,9.6
1588435200.0,9.1
1588437000.0,7.9
1588438800.0,9.4
1588440600.0,7.5
1588442400.0,10.8
1588444200.0,8.0
1588446000.0,7.9
1588447800.0,5.4
1588449600.0,5.3
1588451400.0,7.2
1588453200.0,5.6
1588455000.0,3.7
1588456800.0,5.1
1588458600.0,3.1
1588460400.0,2.4
1588462200.0,3.0
1588464000.0,2.9
1588465800.0,1.4
1588467600.0,1.2
1588469400.0,2.7
1588471200.0,1.3
1588473000.0,3.5
1588474800.0,4.6
1588476600.0,4.0
1588478400.0,4.2
1588480200.0,6.2
1588482000.0,7.3
1588483800.0,8.6
1588485600.0,9.8
1588487400.0,13.5
1588489200.0,11.8
1588491000.0,13.2
1588492800.0,13.2
1588494600.0,12.1
1588496400.0,13.0
1588498200.0,14.4
1588500000.0,12.1
1588501800.0,12.4
1588503600.0,10.9
1588505400.0,10.5
1588507200.0,8.4
1588509000.0,8.4
1588510800.0,6.8
1588512600.0,5.7
1588514400.0,7.7
1588516200.0,7.1
1588518000.0,7.1
1588519800.0,9.0
1588521600.0,7.5
1588523400.0,9.4
1588525200.0,7.0
1588527000.0,9.5
1588528800.0,11.8
1588530600.0,8.8
1588532400.0,7.9
1588534200.0,5.9
1588536000.0,6.4
1588537800.0,5.5
1588539600.0,4.6
1588541400.0,5.3
1588543200.0,3.2
1588545000.0,3.0
1588546800.0,1.5
1588548600.0,2.8
1588550400.0,1.2
1588552200.0,2.8
1588554000.0,1.3
1588555800.0,2.9
1588557600.0,1.5
1588559400.0,6.6
1588561200.0,5.3
1588563000.0,4.5
1588564800.0,6.7
1588566600.0,8.7
1588568400.0,8.6
1588570200.0,9.9
1588572000.0,11.5
1588573800.0,13.0
1588575600.0,12.7
1588577400.0,10.7
1588579200.0,11.9
1588581000.0,12.8
1588582800.0,11.0
1588584600.0,11.6
1588586400.0,10.4
1588588200.0,11.8
1588590000.0,10.4
1588591800.0,11.5
1588593600.0,9.4
1588595400.0,9.4
1588597200.0,7.4
1588599000.0,8.0
1588600800.0,6.7
1588602600.0,8.7
1588604400.0,6.8
1588606200.0,7.7
1588608000.0,8.7
1588609800.0,8.0
1588611600.0,9.4
1588613400.0,11.2
1588615200.0,10.6
1588617000.0,10.3
1588618800.0,6.8
1588620600.0,7.6
1588622400.0,6.0
1588624200.0,6.7
1588626000.0,4.3
1588627800.0,4.3
1588629600.0,2.6
1588631400.0,3.0
1588633200.0,2.9
1588635000.0,1.0
1588636800.0,2.2
1588638600.0,2.5
1588640400.0,0.9
1588642200.0,2.3
1588644000.0,2.1
1588645800.0,4.1
1588647600.0,6.4
1588649400.0,6.1
1588651200.0,5.5
1588653000.0,8.6
1588654800.0,8.9
1588656600.0,9.5
1588658400.0,11.9
1588660200.0,11.4
1588662000.0,11.5
1588663800.0,13.3
1588665600.0,11.4
1588667400.0,10.2
1588669200.0,11.3
1588671000.0,9.8
1588672800.0,11.4
1588674600.0,11.5
1588676400.0,13.3
1588678200.0,11.2
1588680000.0,8.1
1588681800.0,8.1
1588683600.0,8.1
1588685400.0,6.9
1588687200.0,8.0
1588689000.0,8.0
1588690800.0,9.4
1588692600.0,7.5
1588694400.0,8.3
1588696200.0,10.8
1588698000.0,8.5
1588699800.0,10.5
1588701600.0,10.2
1588703400.0,9.1
1588705200.0,6.0
1588707000.0,7.3
1588708800.0,5.3
1588710600.0,6.3
1588712400.0,3.3
1588714200.0,5.5
1588716000.0,3.3
1588717800.0,4.2
1588719600.0,3.9
1588721400.0,1.2
1588723200.0,2.6
1588725000.0,1.3
1588726800.0,2.6
1588728600.0,1.1
1588730400.0,3.2
1588732200.0,4.6
1588734000.0,6.3
1588735800.0,4.3
1588737600.0,6.3
1588739400.0,10.3
1588741200.0,9.7
1588743000.0,10.1
1588744800.0,11.8
1588746600.0,11.4
1588748400.0,12.6
1588750200.0,12.0
1588752000.0,10.5
1588753800.0,12.9
1588755600.0,10.6
1588757400.0,11.6
1588759200.0,10.1
1588761000.0,11.1
1588762800.0,11.8
1588764600.0,9.5
1588766400.0,10.5
1588768200.0,7.7
1588770000.0,9.0
1588771800.0,6.6
1588773600.0,9.4
1588775400.0,6.7
1588777200.0,8.5
1588779000.0,9.0
1588780800.0,8.1
1588782600.0,8.3
1588784400.0,10.0
1588786200.0,10.1
1588788000.0,10.6
1588789800.0,8.4
1588791600.0,7.3
1588793400.0,6.7
1588795200.0,6.1
1588797000.0,3.6
1588798800.0,5.4
1588800600.0,3.4
1588802400.0,4.7
1588804200.0,4.3
1588806000.0,2.1
1588807800.0,3.4
1588809600.0,1.3
1588811400.0,2.7
1588813200.0,1.0
1588815000.0,2.6
1588816800.0,1.3
1588818600.0,6.4
1588820400.0,5.0
1588822200.0,6.7
1588824000.0,6.1
1588825800.0,9.1
1588827600.0,7.9
1588829400.0,9.5
1588831200.0,12.5
1588833000.0,11.4
1588834800.0,11.7
1588836600.0,11.1
1588838400.0,10.8
1588840200.0,12.0
1588842000.0,10.1
1588843800.0,12.2
1588845600.0,9.5
1588847400.0,11.4
1588849200.0,9.4
1588851000.0,11.9
1588852800.0,9.3
1588854600.0,9.8
1588856400.0,7.4
1588858200.0,7.6
1588860000.0,9.3
1588861800.0,6.9
1588863600.0,9.0
1588865400.0,7.6
1588867200.0,7.7
1588869000.0,9.4
1588870800.0,7.8
1588872600.0,11.1
1588874400.0,11.7
1588876200.0,7.0
1588878000.0,5.4
1588879800.0,6.0
1588881600.0,5.1
