time,value
1588276800.0,19.8
1588276800.0,19.8
1588276800.0,19.8
1588277700.0,16.6
1588277700.0,16.6
1588277700.0,16.6
1588278600.0,14.8
1588278600.0,14.8
1588278600.0,14.8
1588279500.0,13.0
1588279500.0,13.0
1588279500.0,13.0
1588280400.0,13.4
1588280400.0,13.4
1588280400.0,13.4
1588281300.0,11.2
1588281300.0,11.2
1588281300.0,11.2
1588282200.0,10.4
1588282200.0,10.4
1588282200.0,10.4
1588283100.0,10.6
1588283100.0,10.6
1588283100.0,10.6
1588284000.0,11.0
1588284000.0,11.0
1588284000.0,11.0
1588284900.0,10.4
1588284900.0,10.4
1588284900.0,10.4
1588285800.0,9.6
1588285800.0,9.6
1588285800.0,9.6
1588286700.0,13.2
1588286700.0,13.2
1588286700.0,13.2
1588287600.0,8.0
1588287600.0,8.0
1588287600.0,8.0
1588288500.0,8.8
1588288500.0,8.8
1588288500.0,8.8
1588289400.0,8.2
1588289400.0,8.2
1588289400.0,8.2
1588290300.0,8.4
1588290300.0,8.4
1588290300.0,8.4
1588291200.0,8.0
1588291200.0,8.0
1588291200.0,8.0
1588292100.0,15.6
1588292100.0,15.6
1588292100.0,15.6
1588293000.0,8.6
1588293000.0,8.6
1588293000.0,8.6
1588293900.0,9.4
1588293900.0,9.4
1588293900.0,9.4
1588294800.0,8.4
1588294800.0,8.4
1588294800.0,8.4
1588295700.0,8.8
1588295700.0,8.8
1588295700.0,8.8
1588296600.0,8.4
1588296600.0,8.4
1588296600.0,8.4
1588297500.0,7.4
1588297500.0,7.4
1588297500.0,7.4
1588298400.0,6.6
1588298400.0,6.6
1588298400.0,6.6
1588299300.0,6.8
1588299300.0,6.8
1588299300.0,6.8
1588300200.0,7.0
1588300200.0,7.0
1588300200.0,7.0
1588301100.0,7.0
1588301100.0,7.0
1588301100.0,7.0
1588302000.0,7.0
1588302000.0,7.0
1588302000.0,7.0
1588302900.0,12.0
1588302900.0,12.0
1588302900.0,12.0
1588303800.0,12.6
1588303800.0,12.6
1588303800.0,12.6
1588304700.0,16.2
1588304700.0,16.2
1588304700.0,16.2
1588305600.0,17.4
1588305600.0,17.4
1588305600.0,17.4
1588306500.0,19.6
1588306500.0,19.6
1588306500.0,19.6
1588307400.0,20.4
1588307400.0,20.4
1588307400.0,20.4
1588308300.0,22.8
1588308300.0,22.8
1588308300.0,22.8
1588309200.0,30.8
1588309200.0,30.8
1588309200.0,30.8
1588310100.0,31.6
1588310100.0,31.6
1588310100.0,31.6
1588311000.0,35.4
1588311000.0,35.4
1588311000.0,35.4
1588311900.0,36.6
1588311900.0,36.6
1588311900.0,36.6
1588312800.0,37.2
1588312800.0,37.2
1588312800.0,37.2
1588313700.0,42.4
1588313700.0,42.4
1588313700.0,42.4
1588314600.0,42.0
1588314600.0,42.0
1588314600.0,42.0
1588315500.0,45.0
1588315500.0,45.0
1588315500.0,45.0
1588316400.0,49.0
1588316400.0,49.0
1588316400.0,49.0
1588317300.0,49.6
1588317300.0,49.6
1588317300.0,49.6
1588318200.0,47.2
1588318200.0,47.2
1588318200.0,47.2
1588319100.0,45.6
1588319100.0,45.6
1588319100.0,45.6
1588320000.0,45.8
1588320000.0,45.8
1588320000.0,45.8
1588320900.0,45.0
1588320900.0,45.0
1588320900.0,45.0
1588321800.0,44.4
1588321800.0,44.4
1588321800.0,44.4
1588322700.0,40.6
1588322700.0,40.6
1588322700.0,40.6
1588323600.0,40.6
1588323600.0,40.6
1588323600.0,40.6
1588324500.0,40.8
1588324500.0,40.8
1588324500.0,40.8
1588325400.0,40.6
1588325400.0,40.6
1588325400.0,40.6
1588326300.0,40.4
1588326300.0,40.4
1588326300.0,40.4
1588327200.0,42.0
1588327200.0,42.0
1588327200.0,42.0
1588328100.0,39.4
1588328100.0,39.4
1588328100.0,39.4
1588329000.0,40.2
1588329000.0,40.2
1588329000.0,40.2
1588329900.0,41.8
1588329900.0,41.8
1588329900.0,41.8
1588330800.0,39.8
1588330800.0,39.8
1588330800.0,39.8
1588331700.0,38.2
1588331700.0,38.2
1588331700.0,38.2
1588332600.0,37.2
1588332600.0,37.2
1588332600.0,37.2
1588333500.0,34.4
1588333500.0,34.4
1588333500.0,34.4
1588334400.0,33.8
1588334400.0,33.8
1588334400.0,33.8
1588335300.0,31.8
1588335300.0,31.8
1588335300.0,31.8
1588336200.0,27.8
1588336200.0,27.8
1588336200.0,27.8
1588337100.0,30.2
1588337100.0,30.2
1588337100.0,30.2
1588338000.0,30.6
1588338000.0,30.6
1588338000.0,30.6
1588338900.0,28.8
1588338900.0,28.8
1588338900.0,28.8
1588339800.0,26.8
1588339800.0,26.8
1588339800.0,26.8
1588340700.0,29.0
1588340700.0,29.0
1588340700.0,29.0
1588341600.0,23.2
1588341600.0,23.2
1588341600.0,23.2
1588342500.0,28.6
1588342500.0,28.6
1588342500.0,28.6
1588343400.0,36.6
1588343400.0,36.6
1588343400.0,36.6
1588344300.0,34.2
1588344300.0,34.2
1588344300.0,34.2
1588345200.0,24.6
1588345200.0,24.6
1588345200.0,24.6
1588346100.0,25.8
1588346100.0,25.8
1588346100.0,25.8
1588347000.0,25.8
1588347000.0,25.8
1588347000.0,25.8
1588347900.0,26.8
1588347900.0,26.8
1588347900.0,26.8
1588348800.0,26.4
1588348800.0,26.4
1588348800.0,26.4
1588349700.0,28.6
1588349700.0,28.6
1588349700.0,28.6
1588350600.0,27.8
1588350600.0,27.8
1588350600.0,27.8
1588351500.0,27.0
1588351500.0,27.0
1588351500.0,27.0
1588352400.0,31.0
1588352400.0,31.0
1588352400.0,31.0
1588353300.0,30.2
1588353300.0,30.2
1588353300.0,30.2
1588354200.0,29.8
1588354200.0,29.8
1588354200.0,29.8
1588355100.0,33.0
1588355100.0,33.0
1588355100.0,33.0
1588356000.0,32.6
1588356000.0,32.6
1588356000.0,32.6
1588356900.0,25.4
1588356900.0,25.4
1588356900.0,25.4
1588357800.0,23.4
1588357800.0,23.4
1588357800.0,23.4
1588358700.0,22.4
1588358700.0,22.4
1588358700.0,22.4
1588359600.0,26.8
1588359600.0,26.8
1588359600.0,26.8
1588360500.0,19.6
1588360500.0,19.6
1588360500.0,19.6
1588361400.0,17.6
1588361400.0,17.6
1588361400.0,17.6
1588362300.0,16.4
1588362300.0,16.4
1588362300.0,16.4
1588363200.0,16.8
1588363200.0,16.8
1588363200.0,16.8
1588364100.0,17.4
1588364100.0,17.4
1588364100.0,17.4
1588365000.0,16.2
1588365000.0,16.2
1588365000.0,16.2
1588365900.0,14.6
1588365900.0,14.6
1588365900.0,14.6
1588366800.0,17.6
1588366800.0,17.6
1588366800.0,17.6
1588367700.0,13.0
1588367700.0,13.0
1588367700.0,13.0
1588368600.0,11.2
1588368600.0,11.2
1588368600.0,11.2
1588369500.0,10.0
1588369500.0,10.0
1588369500.0,10.0
1588370400.0,11.4
1588370400.0,11.4
1588370400.0,11.4
1588371300.0,11.2
1588371300.0,11.2
1588371300.0,11.2
1588372200.0,12.4
1588372200.0,12.4
1588372200.0,12.4
1588373100.0,27.6
1588373100.0,27.6
1588373100.0,27.6
1588374000.0,14.0
1588374000.0,14.0
1588374000.0,14.0
1588374900.0,7.4
1588374900.0,7.4
1588374900.0,7.4
1588375800.0,7.4
1588375800.0,7.4
1588375800.0,7.4
1588376700.0,7.0
1588376700.0,7.0
1588376700.0,7.0
1588377600.0,7.8
1588377600.0,7.8
1588377600.0,7.8
1588378500.0,28.0
1588378500.0,28.0
1588378500.0,28.0
1588379400.0,9.2
1588379400.0,9.2
1588379400.0,9.2
1588380300.0,6.8
1588380300.0,6.8
1588380300.0,6.8
1588381200.0,6.2
1588381200.0,6.2
1588381200.0,6.2
1588382100.0,13.6
1588382100.0,13.6
1588382100.0,13.6
1588383000.0,23.2
1588383000.0,23.2
1588383000.0,23.2
1588383900.0,17.8
1588383900.0,17.8
1588383900.0,17.8
1588384800.0,7.6
1588384800.0,7.6
1588384800.0,7.6
1588385700.0,7.8
1588385700.0,7.8
1588385700.0,7.8
1588386600.0,8.2
1588386600.0,8.2
1588386600.0,8.2
1588387500.0,9.0
1588387500.0,9.0
1588387500.0,9.0
1588388400.0,12.4
1588388400.0,12.4
1588388400.0,12.4
1588389300.0,11.0
1588389300.0,11.0
1588389300.0,11.0
1588390200.0,12.6
1588390200.0,12.6
1588390200.0,12.6
1588391100.0,14.4
1588391100.0,14.4
1588391100.0,14.4
1588392000.0,20.6
1588392000.0,20.6
1588392000.0,20.6
1588392900.0,22.4
1588392900.0,22.4
1588392900.0,22.4
1588393800.0,27.8
1588393800.0,27.8
1588393800.0,27.8
1588394700.0,28.6
1588394700.0,28.6
1588394700.0,28.6
1588395600.0,29.8
1588395600.0,29.8
1588395600.0,29.8
1588396500.0,33.2
1588396500.0,33.2
1588396500.0,33.2
1588397400.0,40.2
1588397400.0,40.2
1588397400.0,40.2
1588398300.0,40.8
1588398300.0,40.8
1588398300.0,40.8
1588399200.0,50.6
1588399200.0,50.6
1588399200.0,50.6
1588400100.0,52.0
1588400100.0,52.0
1588400100.0,52.0
1588401000.0,52.0
1588401000.0,52.0
1588401000.0,52.0
1588401900.0,49.0
