time,value
1588276800.0,14.8
1588276800.0,14.8
1588276800.0,14.8
1588277700.0,11.6
1588277700.0,11.6
1588277700.0,11.6
1588278600.0,11.2
1588278600.0,11.2
1588278600.0,11.2
1588279500.0,10.8
1588279500.0,10.8
1588279500.0,10.8
1588280400.0,10.0
1588280400.0,10.0
1588280400.0,10.0
1588281300.0,12.6
1588281300.0,12.6
1588281300.0,12.6
1588282200.0,9.2
1588282200.0,9.2
1588282200.0,9.2
1588283100.0,9.4
1588283100.0,9.4
1588283100.0,9.4
1588284000.0,8.8
1588284000.0,8.8
1588284000.0,8.8
1588284900.0,11.4
1588284900.0,11.4
1588284900.0,11.4
1588285800.0,11.0
1588285800.0,11.0
1588285800.0,11.0
1588286700.0,10.0
1588286700.0,10.0
1588286700.0,10.0
1588287600.0,9.0
1588287600.0,9.0
1588287600.0,9.0
1588288500.0,8.0
1588288500.0,8.0
1588288500.0,8.0
1588289400.0,10.0
1588289400.0,10.0
1588289400.0,10.0
1588290300.0,7.0
1588290300.0,7.0
1588290300.0,7.0
1588291200.0,10.4
1588291200.0,10.4
1588291200.0,10.4
1588292100.0,22.6
1588292100.0,22.6
1588292100.0,22.6
1588293000.0,10.4
1588293000.0,10.4
1588293000.0,10.4
1588293900.0,7.2
1588293900.0,7.2
1588293900.0,7.2
1588294800.0,6.4
1588294800.0,6.4
1588294800.0,6.4
1588295700.0,7.8
1588295700.0,7.8
1588295700.0,7.8
1588296600.0,7.6
1588296600.0,7.6
1588296600.0,7.6
1588297500.0,8.2
1588297500.0,8.2
1588297500.0,8.2
1588298400.0,9.2
1588298400.0,9.2
1588298400.0,9.2
1588299300.0,9.4
1588299300.0,9.4
1588299300.0,9.4
1588300200.0,9.2
1588300200.0,9.2
1588300200.0,9.2
1588301100.0,10.6
1588301100.0,10.6
1588301100.0,10.6
1588302000.0,13.0
1588302000.0,13.0
1588302000.0,13.0
1588302900.0,14.4
1588302900.0,14.4
1588302900.0,14.4
1588303800.0,15.2
1588303800.0,15.2
1588303800.0,15.2
1588304700.0,19.4
1588304700.0,19.4
1588304700.0,19.4
1588305600.0,23.0
1588305600.0,23.0
1588305600.0,23.0
1588306500.0,33.4
1588306500.0,33.4
1588306500.0,33.4
1588307400.0,36.8
1588307400.0,36.8
1588307400.0,36.8
1588308300.0,35.8
1588308300.0,35.8
1588308300.0,35.8
1588309200.0,36.0
1588309200.0,36.0
1588309200.0,36.0
1588310100.0,43.6
1588310100.0,43.6
1588310100.0,43.6
1588311000.0,43.0
1588311000.0,43.0
1588311000.0,43.0
1588311900.0,42.2
1588311900.0,42.2
1588311900.0,42.2
1588312800.0,41.8
1588312800.0,41.8
1588312800.0,41.8
1588313700.0,40.4
1588313700.0,40.4
1588313700.0,40.4
1588314600.0,46.2
1588314600.0,46.2
1588314600.0,46.2
1588315500.0,47.4
1588315500.0,47.4
1588315500.0,47.4
1588316400.0,43.0
1588316400.0,43.0
1588316400.0,43.0
1588317300.0,41.4
1588317300.0,41.4
1588317300.0,41.4
1588318200.0,44.0
1588318200.0,44.0
1588318200.0,44.0
1588319100.0,42.2
1588319100.0,42.2
1588319100.0,42.2
1588320000.0,44.0
1588320000.0,44.0
1588320000.0,44.0
1588320900.0,41.0
1588320900.0,41.0
1588320900.0,41.0
1588321800.0,39.8
1588321800.0,39.8
1588321800.0,39.8
1588322700.0,38.8
1588322700.0,38.8
1588322700.0,38.8
1588323600.0,40.0
1588323600.0,40.0
1588323600.0,40.0
1588324500.0,38.6
1588324500.0,38.6
1588324500.0,38.6
1588325400.0,37.6
1588325400.0,37.6
1588325400.0,37.6
1588326300.0,39.0
1588326300.0,39.0
1588326300.0,39.0
1588327200.0,36.2
1588327200.0,36.2
1588327200.0,36.2
1588328100.0,36.0
1588328100.0,36.0
1588328100.0,36.0
1588329000.0,37.2
1588329000.0,37.2
1588329000.0,37.2
1588329900.0,33.4
1588329900.0,33.4
1588329900.0,33.4
1588330800.0,28.4
1588330800.0,28.4
1588330800.0,28.4
1588331700.0,28.8
1588331700.0,28.8
1588331700.0,28.8
1588332600.0,28.0
1588332600.0,28.0
1588332600.0,28.0
1588333500.0,29.6
1588333500.0,29.6
1588333500.0,29.6
1588334400.0,23.6
1588334400.0,23.6
1588334400.0,23.6
1588335300.0,22.6
1588335300.0,22.6
1588335300.0,22.6
1588336200.0,22.4
1588336200.0,22.4
1588336200.0,22.4
1588337100.0,23.8
1588337100.0,23.8
1588337100.0,23.8
1588338000.0,23.2
1588338000.0,23.2
1588338000.0,23.2
1588338900.0,24.4
1588338900.0,24.4
1588338900.0,24.4
1588339800.0,24.6
1588339800.0,24.6
1588339800.0,24.6
1588340700.0,25.6
1588340700.0,25.6
1588340700.0,25.6
1588341600.0,24.2
1588341600.0,24.2
1588341600.0,24.2
1588342500.0,26.8
1588342500.0,26.8
1588342500.0,26.8
1588343400.0,26.2
1588343400.0,26.2
1588343400.0,26.2
1588344300.0,26.2
1588344300.0,26.2
1588344300.0,26.2
1588345200.0,28.0
1588345200.0,28.0
1588345200.0,28.0
1588346100.0,28.8
1588346100.0,28.8
1588346100.0,28.8
1588347000.0,30.0
1588347000.0,30.0
1588347000.0,30.0
1588347900.0,28.8
1588347900.0,28.8
1588347900.0,28.8
1588348800.0,29.2
1588348800.0,29.2
1588348800.0,29.2
1588349700.0,30.4
1588349700.0,30.4
1588349700.0,30.4
1588350600.0,28.8
1588350600.0,28.8
1588350600.0,28.8
1588351500.0,29.8
1588351500.0,29.8
1588351500.0,29.8
1588352400.0,26.8
1588352400.0,26.8
1588352400.0,26.8
1588353300.0,26.6
1588353300.0,26.6
1588353300.0,26.6
1588354200.0,26.8
1588354200.0,26.8
1588354200.0,26.8
1588355100.0,22.2
1588355100.0,22.2
1588355100.0,22.2
1588356000.0,20.6
1588356000.0,20.6
1588356000.0,20.6
1588356900.0,22.8
1588356900.0,22.8
1588356900.0,22.8
1588357800.0,19.2
1588357800.0,19.2
1588357800.0,19.2
1588358700.0,20.6
1588358700.0,20.6
1588358700.0,20.6
1588359600.0,21.4
1588359600.0,21.4
1588359600.0,21.4
1588360500.0,19.8
1588360500.0,19.8
1588360500.0,19.8
1588361400.0,15.8
1588361400.0,15.8
1588361400.0,15.8
1588362300.0,14.0
1588362300.0,14.0
1588362300.0,14.0
1588363200.0,12.4
1588363200.0,12.4
1588363200.0,12.4
1588364100.0,13.4
1588364100.0,13.4
1588364100.0,13.4
1588365000.0,11.2
1588365000.0,11.2
1588365000.0,11.2
1588365900.0,11.0
1588365900.0,11.0
1588365900.0,11.0
1588366800.0,11.6
1588366800.0,11.6
1588366800.0,11.6
1588367700.0,10.2
1588367700.0,10.2
1588367700.0,10.2
1588368600.0,8.4
