time,value
1614117601.0,360.026
1614117637.0,361.2413
1614117666.0,361.5451
1614117754.0,362.7604
1614117785.0,363.6719
1614117818.0,364.8871
1614117849.0,364.2795
1614117890.0,365.4948
1614117954.0,366.4063
1614118014.0,367.0139
1614118074.0,367.6215
1614118129.0,368.8368
1614118193.0,369.1406
1614118222.0,370.3559
1614118252.0,358.2031
1614118283.0,351.5191
1614118312.0,347.2656
1614118342.0,345.1389
1614118373.0,341.1893
1614118402.0,336.632
1614118432.0,331.7708
1614118463.0,328.125
1614118492.0,323.5677
1614118523.0,317.7951
1614118552.0,312.3264
1614118583.0,304.1233
1614118613.0,290.4514
1614118642.0,272.526
1614118673.0,245.1823
1614118703.0,219.9653
1614118732.0,186.5451
1614118763.0,159.5052
1614118793.0,121.8316
1614118822.0,113.0208
1614118853.0,130.0347
1614118882.0,135.1996
1614118913.0,139.4531
1614118942.0,147.6563
1614118973.0,155.5556
1614119002.0,163.4549
1614119032.0,171.9618
1614119063.0,177.7344
1614119092.0,182.5955
1614119123.0,186.849
1614119153.0,195.0521
1614119183.0,201.7361
1614119213.0,208.7239
1614119242.0,214.8003
1614119273.0,220.8767
1614119303.0,224.5226
1614119332.0,229.0799
1614119363.0,234.2448
1614119392.0,239.7135
1614119423.0,244.5747
1614119452.0,250.0434
1614119483.0,254.6007
1614119513.0,259.158
1614119542.0,263.7153
1614119573.0,268.8802
1614119602.0,272.526
1614119633.0,277.3871
1614119662.0,281.033
1614119693.0,284.0712
1614119723.0,286.1979
1614119753.0,289.8438
1614119783.0,291.3629
1614119812.0,292.882
1614119843.0,295.3125
1614119872.0,296.5278
1614119907.0,297.743
1614119936.0,298.9583
1614119978.0,300.1736
1614120009.0,301.0851
1614120039.0,303.2118
1614120099.0,304.4271
1614120128.0,305.3385
1614120159.0,306.5538
1614120188.0,306.8576
1614120219.0,308.3767
1614120248.0,308.6806
1614120279.0,309.8958
1614120309.0,310.1996
1614120343.0,310.8073
1614120383.0,312.0226
1614120458.0,313.2379
1614120489.0,312.934
1614120518.0,314.1493
1614120582.0,315.0608
1614120638.0,316.2761
1614120669.0,317.1875
1614120702.0,316.8837
1614120738.0,318.099
1614120769.0,317.4913
1614120806.0,318.7066
1614120837.0,319.0104
1614120883.0,319.618
1614120943.0,320.2257
1614121003.0,321.1371
1614121096.0,322.3524
1614121180.0,323.5677
1614121210.0,324.1754
1614121244.0,323.8715
1614121301.0,325.0868
1614121330.0,325.6945
1614121365.0,326.3021
1614121425.0,326.9097
1614121514.0,328.125
1614121545.0,327.8212
1614121602.0,328.7326
1614121662.0,329.6441
1614121722.0,330.8594
1614121782.0,331.1632
1614121814.0,332.3785
1614121903.0,332.9861
1614121961.0,333.5938
1614121995.0,335.1129
1614122024.0,333.8976
1614122062.0,335.1129
1614122092.0,336.3281
1614122141.0,336.632
1614122194.0,337.8472
1614122223.0,337.2396
1614122262.0,337.5434
1614122294.0,338.7587
1614122324.0,337.8472
1614122357.0,339.0625
1614122388.0,339.6701
1614122428.0,340.8854
1614122458.0,340.2778
1614122552.0,341.4931
1614122583.0,340.8854
