time,value
1614117601.0,8280.572
1614117690.0,8292.51
1614118006.0,8323.619
1614118148.0,8338.705
1614118284.0,8353.798
1614118288.0,8335.829
1614118292.0,8352.983
1614118316.0,8263.327
1614118320.0,8515.746
1614118324.0,8669.304
1614118336.0,8609.607
1614118340.0,8508.3
1614118344.0,8401.957
1614118348.0,8233.117
1614118352.0,8092.467
1614118356.0,8038.247
1614118372.0,8058.134
1614118376.0,8081.808
1614118380.0,8098.54
1614118388.0,8119.564
1614118396.0,8103.585
1614118408.0,8025.688
1614118412.0,7906.99
1614118416.0,7833.235
1614118420.0,7806.329
1614118424.0,7776.429
1614118432.0,7760.728
1614118444.0,7726.511
1614118448.0,7682.455
1614118456.0,7658.145
1614118464.0,7704.9
1614118468.0,7689.743
1614118488.0,7629.777
1614118496.0,7575.178
1614118500.0,7608.596
1614118504.0,7631.208
1614118520.0,7714.565
1614118528.0,7579.449
1614118532.0,7650.163
1614118536.0,7681.751
1614118552.0,7595.49
1614118560.0,7619.935
1614118564.0,7591.843
1614118568.0,7620.79
1614118584.0,7620.02
1614118596.0,7600.307
1614118608.0,7583.274
1614118636.0,7565.965
1614118660.0,7528.441
1614118748.0,7512.481
1614118784.0,7496.518
1614118796.0,7475.401
1614118816.0,7496.221
1614118848.0,7459.405
1614118880.0,7438.926
1614118964.0,7403.288
1614119016.0,7387.823
1614119113.0,7384.104
1614119121.0,7367.106
1614119149.0,7382.547
1614119177.0,7588.424
1614119181.0,7636.814
1614119185.0,7715.005
1614119188.0,7787.085
1614119192.0,7861.665
1614119196.0,7921.797
1614119200.0,7970.802
1614119213.0,8100.224
1614119220.0,8134.009
1614119224.0,8154.275
1614119228.0,8188.113
1614119232.0,8214.939
1614119245.0,8296.246
1614119253.0,8313.448
1614119260.0,8337.036
1614119268.0,8378.911
1614119285.0,8413.07
1614119292.0,8438.595
1614119300.0,8471.95
1614119317.0,8540.738
1614119320.0,8555.89
1614119324.0,8574.8
1614119336.0,8594.606
1614119345.0,8619.898
1614119353.0,8652.892
1614119356.0,8675.941
1614119368.0,8692.669
1614119377.0,8710.144
1614119385.0,8747.838
1614119392.0,8764.548
1614119400.0,8755.362
1614119424.0,8813.385
1614119452.0,8869.582
1614119464.0,8886.702
1614119484.0,8907.434
1614119520.0,8946.542
1614119545.0,8965.885
1614119560.0,8983.868
1614119577.0,8999.467
1614119612.0,9037.331
1614119652.0,9072.658
1614119680.0,9092.2
1614119701.0,9109.983
1614119733.0,9127.252
1614119765.0,9144.232
1614119829.0,9183.168
1614119950.0,9211.995
1614119954.0,9233.139
1614119982.0,9248.831
1614119986.0,9232.376
1614120007.0,9233.638
1614120014.0,9257.94
1614120078.0,9274.707
1614120091.0,9258.742
1614120134.0,9273.969
1614120238.0,9287.813
1614120251.0,9305.297
1614120255.0,9285.409
1614120259.0,9306.383
1614120283.0,9307.318
1614120291.0,9288.826
1614120300.0,9288.097
1614120302.0,9308.911
1614120323.0,9292.543
1614120334.0,9311.23
1614120411.0,9316.513
1614120430.0,9300.166
1614120450.0,9320.852
1614120478.0,9299.371
1614120511.0,9317.815
1614120522.0,9292.521
1614120543.0,9312.099
1614120546.0,9292.49
1614120706.0,9280.555
1614120805.0,9266.872
1614120923.0,9253.756
1614121046.0,9237.766
1614121148.0,9222.628
1614121200.0,9212.889
1614121336.0,9189.606
1614121432.0,9172.753
1614121520.0,9157.713
1614121634.0,9140.911
1614121730.0,9124.422
1614121925.0,9104.609
1614122100.0,9093.912
1614122198.0,9088.811
1614122768.0,9041.613
1614123000.0,9037.737
1614123058.0,9024.385
1614123468.0,9006.814
1614123769.0,8993.513
1614123870.0,8990.702
1614123900.0,8989.707
1614124553.0,8977.085
1614124597.0,8981.531
1614124684.0,9014.485
1614124688.0,9072.385
