time,pressure,dewPoint,precipitation,humidity,temperature,windBearing,windSpeed,illuminance,pressureTendency
1589310000.0,1009.5,0.0,0.0,67.0,13.4,0.0,4.1,0.0,raising
1589310000.0,1009.5,0.0,0.0,67.0,13.4,0.0,4.1,0.0,raising
1589313600.0,1011.8,0.0,0.0,73.0,12.0,0.0,3.4,0.0,raising
1589317200.0,1012.4,0.0,0.0,56.0,11.7,0.0,5.2,0.0,steady
1589320800.0,1014.1,0.0,0.0,54.0,10.4,0.0,3.5,0.0,raising
1589324400.0,1015.6,0.0,0.0,55.0,9.8,0.0,3.5,0.0,steady
1589328000.0,1016.6,0.0,0.0,53.0,9.3,0.0,3.5,0.0,raising
1589331600.0,1017.4,0.0,0.0,53.0,8.8,0.0,3.4,0.0,raising
1589335200.0,1018.0,0.0,0.0,53.0,8.5,0.0,3.0,0.0,raising
1589338800.0,1018.3,0.0,0.0,52.0,8.2,0.0,2.8,0.0,raising
1589342400.0,1018.7,0.0,0.0,49.0,8.9,0.0,3.7,0.0,raising
1589346000.0,1020.2,0.0,0.0,49.0,9.2,22.5,3.4,0.0,steady
1589349600.0,1021.5,0.0,0.0,50.0,9.4,22.5,3.0,0.0,steady
1589353200.0,1021.9,0.0,0.0,48.0,9.6,45.0,4.0,0.0,raising
1589356800.0,1022.0,0.0,0.0,46.0,10.4,45.0,3.3,0.0,raising
1589360400.0,1022.1,0.0,0.0,46.0,11.8,90.0,2.9,0.0,raising
1589364000.0,1022.1,0.0,0.0,37.0,13.3,90.0,1.6,0.0,raising
1589367600.0,1021.4,0.0,0.0,40.0,14.5,90.0,1.7,0.0,steady
1589371200.0,1020.8,0.0,0.0,36.0,15.7,157.5,1.4,0.0,steady
1589374800.0,1020.4,0.0,0.0,40.0,16.5,135.0,3.6,0.0,falling
1589378400.0,1019.7,0.0,0.0,36.0,17.8,157.5,4.4,0.0,falling
1589382000.0,1018.5,0.0,0.0,37.0,19.3,157.5,4.8,0.0,steady
1589385600.0,1017.6,0.0,0.0,35.0,20.3,180.0,5.2,0.0,falling
1589389200.0,1017.4,0.0,0.0,37.0,19.5,157.5,7.0,0.0,falling
1589392800.0,1017.2,0.0,0.0,43.0,16.8,157.5,7.0,0.0,falling
1589400000.0,1017.1,0.0,0.0,58.0,13.0,157.5,6.2,0.0,steady
1589403600.0,1017.0,0.0,0.0,65.0,12.0,157.5,5.9,0.0,falling
1589407200.0,1016.3,0.0,0.0,69.0,11.7,157.5,6.2,0.0,steady
1589407200.0,1016.3,0.0,0.0,69.0,11.7,157.5,6.2,0.0,steady
1589407200.0,1016.3,0.0,0.0,69.0,11.7,157.5,6.2,0.0,steady
1589407200.0,1016.3,0.0,0.0,69.0,11.7,157.5,6.2,0.0,steady
1589410800.0,1016.4,0.0,0.0,72.0,11.4,157.5,5.8,0.0,falling
1589414400.0,1015.3,0.0,0.0,73.0,11.3,157.5,5.6,0.0,steady
1589418000.0,1014.7,0.0,0.0,75.0,11.2,157.5,5.5,0.0,steady
1589418000.0,1014.7,0.0,0.0,75.0,11.2,157.5,5.5,0.0,steady
1589421600.0,1013.8,0.0,0.0,76.0,11.2,157.5,5.4,0.0,falling
1589425200.0,1013.0,0.0,0.0,79.0,11.4,157.5,4.6,0.0,falling
1589428800.0,1012.3,0.0,0.0,82.0,11.9,157.5,4.9,0.0,falling
1589428800.0,1012.3,0.0,0.0,82.0,11.9,157.5,4.9,0.0,falling
1589432400.0,1011.9,0.0,0.0,81.0,12.8,157.5,5.2,0.0,falling
1589436000.0,1011.5,0.0,0.0,77.0,14.2,157.5,5.5,0.0,falling
1589439600.0,1011.3,0.0,0.0,73.0,15.8,180.0,5.5,0.0,falling
1589443200.0,1011.2,0.0,0.0,65.0,18.7,180.0,5.2,0.0,falling
1589446800.0,1010.9,0.0,0.0,58.0,21.0,180.0,5.0,0.0,falling
1589450400.0,1010.0,0.0,0.0,52.0,23.9,180.0,5.1,0.0,steady
1589450400.0,1010.0,0.0,0.0,52.0,23.9,180.0,5.1,0.0,steady
1589454000.0,1009.4,0.0,0.0,41.0,26.9,202.5,3.1,0.0,steady
1589457600.0,1009.0,0.0,0.0,38.0,28.2,202.5,4.0,0.0,falling
1589461200.0,1007.8,0.0,0.0,31.0,30.0,225.0,4.3,0.0,falling
1589464800.0,1007.5,0.0,0.0,30.0,30.8,247.5,5.3,0.0,falling
1589468400.0,1006.3,0.0,0.0,30.0,30.6,225.0,5.1,0.0,falling
1589472000.0,1006.2,0.0,0.0,28.0,31.6,225.0,4.3,0.0,falling
1589475600.0,1006.3,0.0,0.0,25.0,31.3,225.0,6.2,0.0,falling
1589479200.0,1007.1,0.0,0.0,29.0,29.1,247.5,4.6,0.0,steady
1589482800.0,1008.0,0.0,0.0,35.0,27.2,247.5,2.2,0.0,steady
1589486400.0,1009.1,0.0,0.0,41.0,25.6,270.0,1.2,0.0,steady
1589490000.0,1009.6,0.0,0.0,47.0,23.8,247.5,0.9,0.0,raising
1589493600.0,1009.8,0.0,0.0,51.0,22.5,202.5,0.7,0.0,raising
1589497200.0,1010.5,0.0,0.0,58.0,20.7,292.5,1.2,0.0,steady
1589500800.0,1012.0,0.0,0.0,64.0,17.5,0.0,3.5,0.0,steady
1589504400.0,1012.2,0.0,0.0,67.0,15.7,0.0,2.4,0.0,raising
1589508000.0,1012.2,0.0,0.0,70.0,13.8,0.0,3.4,0.0,raising
1589511600.0,1012.6,0.0,0.0,72.0,12.7,0.0,2.5,0.0,steady
1589515200.0,1012.6,0.0,0.0,73.0,12.3,0.0,2.8,0.0,raising
1589518800.0,1013.5,0.0,0.0,73.0,12.4,0.0,2.9,0.0,steady
1589522400.0,1013.7,0.0,0.0,72.0,13.1,0.0,3.3,0.0,steady
